ACCODE,ACC_NM,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01
110610,무형자산,142.8574,140.44654110000002,189.99003090000002,199.816337,218.27515340000002
190170,영업권,NaN,NaN,NaN,NaN,NaN
190180,개발비,NaN,NaN,NaN,NaN,NaN
190190,특허권,NaN,NaN,NaN,NaN,NaN
190200,산업재산권,NaN,NaN,NaN,NaN,NaN
190210,컴퓨터소프트웨어,84.49124,106.09884000000001,125.02855000000001,148.46408000000002,160.27775000000003
190220,브랜드,NaN,NaN,NaN,NaN,NaN
190230,라이센스와프랜차이즈,NaN,NaN,NaN,NaN,NaN
190240,저작권,NaN,NaN,NaN,NaN,NaN
190250,회원권,NaN,NaN,25.62188,25.62432,37.21632
190260,제이용권,NaN,NaN,NaN,NaN,NaN
190270,기타,58.36616000000001,34.3477,39.339600000000004,25.727940000000004,20.781080000000003
111160,비유동생물자산,NaN,NaN,NaN,NaN,NaN
111330,투자부동산,NaN,NaN,NaN,NaN,207.61092850000003
190280,토지,NaN,NaN,NaN,NaN,NaN
190290,건물,NaN,NaN,NaN,NaN,201.38899
190300,기타투자부동산,NaN,NaN,NaN,NaN,6.221940000000001
190310,투자자산,48375.47391,49658.3928999,50288.010050000004,25860.398760300006,26622.3757441
111450,관계기업등지분관련투자자산,48375.393910000006,49443.562899900004,50082.340050000006,25618.0252058,26527.316220200002
111460,관계기업투자(지분법적용투자),48375.393910000006,NaN,NaN,NaN,NaN
111470,종속기업투자,NaN,NaN,NaN,NaN,NaN
190320,기타,NaN,49443.562899900004,50082.340050000006,25618.0252058,26527.316220200002
111500,장기매도가능금융자산,NaN,NaN,NaN,NaN,NaN
111580,장기만기보유금융자산,NaN,NaN,NaN,NaN,NaN
115010,당기손익-공정가치측정금융자산,NaN,NaN,NaN,NaN,NaN
115020,기타포괄손익-공정가치측정금융자산,NaN,NaN,NaN,NaN,NaN
115030,상각후원가측정유가증권,NaN,NaN,NaN,NaN,NaN
115040,상각후원가측정금융자산,NaN,NaN,NaN,NaN,NaN
111640,기타금융자산,0.08,214.83,205.67000000000002,242.3735545,95.05952390000002
111650,당기손익인식금융자산,NaN,NaN,NaN,NaN,NaN
190330,장기금융상품,0.08,0.08,0.07,0.07,0.07
190340,장기대여금,NaN,NaN,NaN,NaN,4.0
111830,장기파생상품자산,NaN,NaN,NaN,NaN,10.029900000000001
111890,신주인수권,NaN,NaN,NaN,NaN,NaN
190350,기타,NaN,214.75000000000003,205.60000000000002,242.30355000000003,80.95962
111930,장기매출채권및기타채권,NaN,NaN,NaN,NaN,NaN
190360,장기매출채권,NaN,NaN,NaN,NaN,NaN
190370,장기미수금등,NaN,NaN,NaN,NaN,NaN
190380,장기대출채권,NaN,NaN,NaN,NaN,NaN
190410,장기미수수익,NaN,NaN,NaN,NaN,NaN
190390,기타,NaN,NaN,NaN,NaN,NaN
